981297 function calls (969090 primitive calls) in 0.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       35    0.002    0.000    0.944    0.027 __init__.py:1(<module>)
    290/1    0.001    0.000    0.817    0.817 {built-in method builtins.exec}
        1    0.000    0.000    0.817    0.817 finitedifference.py:1(<module>)
    349/1    0.002    0.000    0.671    0.671 <frozen importlib._bootstrap>:1022(_find_and_load)
    345/1    0.001    0.000    0.671    0.671 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
    331/2    0.002    0.000    0.671    0.335 <frozen importlib._bootstrap>:664(_load_unlocked)
    282/2    0.001    0.000    0.671    0.335 <frozen importlib._bootstrap_external>:877(exec_module)
    495/2    0.000    0.000    0.670    0.335 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
    439/7    0.001    0.000    0.639    0.091 {built-in method builtins.__import__}
   472/74    0.001    0.000    0.587    0.008 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.451    0.451 pyplot.py:1(<module>)
1101/1000    0.016    0.000    0.380    0.000 {built-in method builtins.__build_class__}
      105    0.001    0.000    0.298    0.003 artist.py:159(_update_set_signature_and_docstring)
      104    0.000    0.000    0.293    0.003 artist.py:126(__init_subclass__)
      117    0.001    0.000    0.227    0.002 artist.py:1837(kwdoc)
        1    0.000    0.000    0.220    0.220 figure.py:1(<module>)
        1    0.000    0.000    0.197    0.197 colorbar.py:1(<module>)
      117    0.005    0.000    0.193    0.002 artist.py:1598(pprint_setters)
     4252    0.013    0.000    0.158    0.000 artist.py:1470(get_valid_values)
        1    0.105    0.105    0.146    0.146 finitedifference.py:14(main)
        1    0.000    0.000    0.121    0.121 contour.py:1(<module>)
     7303    0.069    0.000    0.110    0.000 inspect.py:744(cleandoc)
     7315    0.007    0.000    0.105    0.000 inspect.py:725(getdoc)
        1    0.000    0.000    0.103    0.103 backend_bases.py:1(<module>)
        1    0.000    0.000    0.094    0.094 text.py:1(<module>)
      223    0.001    0.000    0.076    0.000 artist.py:1422(__init__)
      223    0.012    0.000    0.075    0.000 artist.py:1442(get_aliases)
        1    0.000    0.000    0.069    0.069 collections.py:1(<module>)
        1    0.000    0.000    0.066    0.066 _axes.py:1(<module>)
     6825    0.006    0.000    0.066    0.000 re.py:288(_compile)
        1    0.000    0.000    0.057    0.057 patches.py:1(<module>)
      230    0.001    0.000    0.056    0.000 sre_compile.py:783(compile)
      282    0.002    0.000    0.056    0.000 <frozen importlib._bootstrap_external>:950(get_code)
        1    0.000    0.000    0.052    0.052 _base.py:1(<module>)
        1    0.000    0.000    0.050    0.050 axes3d.py:1(<module>)
        1    0.000    0.000    0.049    0.049 rcsetup.py:1(<module>)
      223    0.017    0.000    0.048    0.000 artist.py:1517(get_setters)
     5768    0.004    0.000    0.048    0.000 re.py:197(search)
        1    0.000    0.000    0.044    0.044 __config__.py:1(<module>)
        9    0.000    0.000    0.042    0.005 _base.py:729(__init_subclass__)
      968    0.037    0.000    0.040    0.000 numeric.py:1129(roll)
      282    0.001    0.000    0.038    0.000 <frozen importlib._bootstrap_external>:670(_compile_bytecode)
      282    0.037    0.000    0.037    0.000 {built-in method marshal.loads}
      230    0.001    0.000    0.035    0.000 sre_parse.py:944(parse)
      136    0.001    0.000    0.033    0.000 _docstring.py:38(__call__)
  519/230    0.002    0.000    0.033    0.000 sre_parse.py:436(_parse_sub)
  126/115    0.000    0.000    0.033    0.000 _docstring.py:79(__call__)
  581/234    0.013    0.000    0.032    0.000 sre_parse.py:494(_parse)
       83    0.000    0.000    0.030    0.000 re.py:249(compile)
      342    0.003    0.000    0.029    0.000 <frozen importlib._bootstrap>:921(_find_spec)
  331/327    0.001    0.000    0.028    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       12    0.000    0.000    0.027    0.002 _docstring.py:51(__missing__)
      650    0.001    0.000    0.027    0.000 inspect.py:3252(signature)
        1    0.000    0.000    0.027    0.027 index_tricks.py:1(<module>)
      650    0.001    0.000    0.026    0.000 inspect.py:2998(from_callable)
        1    0.000    0.000    0.026    0.026 art3d.py:1(<module>)
      223    0.014    0.000    0.026    0.000 artist.py:1453(<listcomp>)
  714/650    0.004    0.000    0.026    0.000 inspect.py:2375(_signature_from_callable)
       30    0.004    0.000    0.025    0.001 __init__.py:847(_rc_params_in_file)
